h3_polyfill,index,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,geometry,LAT,LONG,opt_tilt
83274dfffffffff,6,26,1779789,0400000US26,26,MI,Michigan,0,1.46601E+11,1.03886E+11,"POLYGON ((-84.06608848383017 43.55009720147251, -84.74300492315953 43.15449923256704, -84.57622004699658 42.54595119318308, -83.75144989279491 42.32898615695195, -83.07728989858396 42.71502064738186, -83.22495317846773 43.3274852117277, -84.06608848383017 43.55009720147251))",42.93931608,-83.90631764,36
832746fffffffff,6,26,1779789,0400000US26,26,MI,Michigan,0,1.46601E+11,1.03886E+11,"POLYGON ((-88.38601869715757 46.85043803470459, -89.06656493399484 46.41537750220255, -88.82842497227374 45.79748655638779, -87.92981696089831 45.6089587550225, -87.24889677101704 46.03401162370251, -87.46665138254247 46.65751335362676, -88.38601869715757 46.85043803470459))",46.22978482,-88.15406761,37
832748fffffffff,6,26,1779789,0400000US26,26,MI,Michigan,0,1.46601E+11,1.03886E+11,"POLYGON ((-85.58594694205833 43.36539943017474, -86.24505772978344 42.96249749580974, -86.05978206677452 42.35836393811643, -85.23367711992914 42.152626678764925, -84.57622004699658 42.54595119318308, -84.74300492315953 43.15449923256704, -85.58594694205833 43.36539943017474))",42.75884933,-85.40705942,36
83274cfffffffff,6,26,1779789,0400000US26,26,MI,Michigan,0,1.46601E+11,1.03886E+11,"POLYGON ((-85.09013830826513 44.38248318374426, -85.7691546585194 43.97718244704767, -85.58594694205833 43.36539943017474, -84.74300492315953 43.15449923256704, -84.06608848383017 43.55009720147251, -84.2297977418372 44.16620162797714, -85.09013830826513 44.38248318374426))",43.76833158,-84.91380572,36
832a30fffffffff,7,25,606926,0400000US25,25,MA,Massachusetts,0,20205125364,7129925486,"POLYGON ((-70.77262420310291 43.346551434658636, -71.55052924575753 43.03556020643556, -71.55848333948539 42.41792704359448, -70.80900570557183 42.1121293062945, -70.04260248359023 42.41534007278131, -70.01421100839475 43.03201007307099, -70.77262420310291 43.346551434658636))",42.72888448,-70.79141714,38
832a32fffffffff,7,25,606926,0400000US25,25,MA,Massachusetts,0,20205125364,7129925486,"POLYGON ((-72.3209858071375 43.340158329567124, -73.08947577680037 43.018511082469935, -73.07691180312379 42.400492689472884, -72.31638457936062 42.10438651576245, -71.55848333948539 42.41792704359448, -71.55052924575753 43.03556020643556, -72.3209858071375 43.340158329567124))",42.72180828,-72.3189285,38
832895fffffffff,8,16,1779783,0400000US16,16,ID,Idaho,0,2.1405E+11,2391722557,"POLYGON ((-112.94056051139856 43.926378546006774, -112.47533090117112 44.449343140825086, -112.90372166366609 44.96873474052623, -113.80137126750763 44.96301974068825, -114.2603475339209 44.438604667829026, -113.82809163347571 43.92135439009324, -112.94056051139856 43.926378546006774))",44.44542934,-113.3679824,39
83289cfffffffff,8,16,1779783,0400000US16,16,ID,Idaho,0,2.1405E+11,2391722557,"POLYGON ((-114.23842794408571 45.47301527696883, -113.77403673430685 45.990865996444185, -114.21600178473176 46.493434793100505, -115.12592915683786 46.47593119112313, -115.58330817592925 45.95672502545088, -115.1379419913129 45.45637454301254, -114.23842794408571 45.47301527696883))",45.97525081,-114.6789573,36
832883fffffffff,8,16,1779783,0400000US16,16,ID,Idaho,0,2.1405E+11,2391722557,"POLYGON ((-115.59005729555875 44.93065017420072, -115.1379419913129 45.45637454301254, -115.58330817592925 45.95672502545088, -116.48369847512731 45.92906853395805, -116.92835502755169 45.40218538401602, -116.48024328983657 44.90411193249163, -115.59005729555875 44.93065017420072))",45.43071224,-116.0335528,36
832886fffffffff,8,16,1779783,0400000US16,16,ID,Idaho,0,2.1405E+11,2391722557,"POLYGON ((-114.28177752018668 43.39060164662037, -113.82809163347571 43.92135439009324, -114.2603475339209 44.438604667829026, -115.14968374123853 44.42287270301568, -115.59665506826775 43.89084755153694, -115.1611634793217 43.375823835306086, -114.28177752018668 43.39060164662037))",43.90754121,-114.7126333,36
832884fffffffff,8,16,1779783,0400000US16,16,ID,Idaho,0,2.1405E+11,2391722557,"POLYGON ((-115.60310652830113 42.837738262209285, -115.1611634793217 43.375823835306086, -115.59665506826775 43.89084755153694, -116.47686545483118 43.865478388527336, -116.91167715946514 43.32630975792946, -116.4735624014566 42.813588341266026, -115.60310652830113 42.837738262209285))",43.35248853,-116.0367889,37
